plant,equipment_name,technical_id,process,master_data_name,location,immobilization_number,serial_number,year,equipment_commercialized,pdr_commercialized,age,degradability,production_hours,hp_coefficient,replacement_parts,maintenance_mttr_mtbf,technology,aging_result,equipment_status,physical_status,Rul
LTN3B,gamma 333,ET00000311,Cutting Machine Wire < 6mm2,Komax--Gamma 333,CuttingWirePreparation,4141080201,2312,2005,FALSE,TRUE,20,0.7,5107,1,0,0,1,0.57,Moyen,Moyen,0
LTN3B,kappa 330,ET00000231,Cutting Machine Cable > 6mm2,Komax--Kappa 330,CuttingWirePreparation,immo382404,896,2018,FALSE,FALSE,7,0.4,5107,1,1,0,1,0.59,Moyen,Besoin Upgrade,9
LTN3B,schleuniger PS 9550,ET00000273,Cutting Machine Cable > 6mm2,Schleuniger--PowerStrip 9550,CuttingWirePreparation,2141120301,125,2012,FALSE,TRUE,13,0.4,5107,1,0,0,1,0.39,Bon,Bon,10
LTN3B,kappa240,ET00000229,Cutting Machine Cable > 6mm2,Komax--Kappa 240,CuttingWirePreparation,2141030401,76,2002,FALSE,FALSE,23,1,5107,1,1,0,1,0.95,Besoin Upgrade,Besoin Upgrade,0
LTN3B,alpha 488 S,ET00000209,Cutting Machine Wire < 6mm2,Komax--Alpha 488 S,CuttingWirePreparation,2141170301,1113,2015,FALSE,TRUE,10,0.4,5107,1,0,0,1,0.39,Bon,Bon,9
LTN3B,alpha 488 S,ET00000209,Cutting Machine Wire < 6mm2,Komax--Alpha 488 S,CuttingWirePreparation,2141050304,1165,2016,FALSE,TRUE,9,0.4,5107,1,0,0,1,0.39,Bon,Bon,6
LTN3B,alpha 550,ET00000211,Cutting Machine Wire < 6mm2,Komax--Alpha 550,CuttingWirePreparation,4141161203,72,2015,TRUE,TRUE,10,0.4,5107,1,0,0,0,0.34,Bon,Excellent,7
LTN3B,BT 188T,ET00001431,Twisting Machine,Komax--BT-188T,Assembly,2280200301,605,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,16
LTN3B,mecalbi stcs bltts,ET00001572,Test Module,Mecalbi--STCS-BLTTS,Assembly,immo615460,55,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,17
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,2110200603,5535,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,19
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,2110200604,5537-1,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,15
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,immo569344,6140-1,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,18
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,2110210903,2614-3,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,17
LTN3B,kabatec kts 50 comfort ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,Assembly,2143211103,1474,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,20
LTN3B,mecalbi vmir plus,ET00001356,Shrinking Machine Processor,Mecalbi--STCS-VMir+,Assembly,immo553130,202,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,16
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,2110210902,2614-2,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,17
LTN3B,meclabi stcs evo 500 ts,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,Assembly,2200200703,223,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon,Excellent,15
LTN3B,dsg canusa,ET00001006,Shrinking Machine Tunnel,DSG Canusa--DERAY FST- 165/ 600,Assembly,2200231201,T04-M-44312/SB1009/062,2024,TRUE,TRUE,1,0,3920,0.75,0,0,0,0.075,Excellent,,25
LTN3B,kabatec kts 50 comfort ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,Assembly,immo292995,1569,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,20
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,2110200603,5537-2,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,13
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,2110210905,2614-5,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,17
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,Assembly,2110111004,2772-2,2011,FALSE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen,6
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,2110200602,4257-6,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,19
LTN3B,mecalbi stcs evo 500 ts ,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,Assembly,2200800701,507,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,18
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,2110210904,2614-4,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,18
LTN3B,mecalbi stcs evo 500 ts ,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,Assembly,2200200703,506,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,18
LTN3B,kabatec ktcx 20 (ktb e9p/e19p),ET00001097,Taping Machine,Kabatec--KTB E9P Taping Machine,Assembly,immo639839,1038,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,19
LTN3B,kabatec kts 50 comfort ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,Assembly,2143211104,1475,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,17
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,2110180701,8640,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon,Excellent,12
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,8110191001,90077,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,18
LTN3B,kabatec kts 50 comfort ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,Assembly,2143211101,1471,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,19
LTN3B,kabatec ktcx 20 (ktb e9p/e19p),ET00001097,Taping Machine,Kabatec--KTB E9P Taping Machine,Assembly,4143190402,825,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent,,11
LTN3B,kabatec ktcx 20 (ktb e9p/e19p),ET00001097,Taping Machine,Kabatec--KTB E9P Taping Machine,Assembly,2236201106,916,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,17
LTN3B,schunk minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,2110210901,2614-1,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,18
LTN3B,meclabi stcs evo 500 ts,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,Assembly,2200200702,558,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,17
LTN3B,mecalbi stcs evo 500 ts ,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,Assembly,2200191001,409,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,17
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,Assembly,immo898528,2712-1,2011,FALSE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen,9
LTN3B,kabatec kts 50 comfort ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,Assembly,2143211101,1472,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,19
LTN3B,schunk minic 3 ,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,2110200605,5532,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,15
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,Assembly,immo104692,6140-2,2021,FALSE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,18
LTN3B,kabatec kts 50 comfort ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,Assembly,2143191001,1178,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon,15
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,Assembly,2110110404,7393-3,2011,FALSE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen,8
LTN3B,mecalbi stcs evo 500 ts ,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,Assembly,immo506101,425,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,20
LTN3B,mecalbi stcs evo 500 ts ,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,Assembly,4200180601,198,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon,,13
LTN3B,mecalbi stcs evo 500 ts ,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,Assembly,2200180605,562,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,19
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,Assembly,immo966299,6140-3,2021,FALSE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,17
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,Assembly,2110110801,3324-1,2011,FALSE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen,8
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,Assembly,immo475251,7167,2011,FALSE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen,10
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,Assembly,4110101003,4830-3,2010,FALSE,TRUE,15,0.7,3920,0.75,0,0,0,0.495,Moyen,Moyen,5
LTN3B,meclabi stcs evo 500 ts,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,Assembly,2200190901,403,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,16
LTN3B,schunk minic 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,Assembly,4110130401,2053-1,2013,FALSE,TRUE,12,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen,8
LTN3B,meclabi stcs evo 500 ts,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,Assembly,4200180406,150,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon,Excellent,12
LTN3B,schafer eps 2001,ET00001170,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,Assembly,2142110604,4343,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen,7
LTN3B,komax bt 752,ET00001072,Crimping Press Wire < 6mm2,Komax--BT-752,Assembly,2142211201,717,2021,FALSE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,20
LTN3B,komax bt 752,ET00001072,Crimping Press Wire < 6mm2,Komax--BT-752,Assembly,2142190401,568,2019,FALSE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon,14
LTN3B,komax bt 722,ET00001068,Crimping Press Wire < 6mm2,Komax--BT-722,Assembly,2142200201,1488,2020,FALSE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,19
LTN3B,komax bt 722,ET00001068,Crimping Press Wire < 6mm2,Komax--BT-722,Assembly,2142200804,1487,2022,FALSE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,18
LTN3B,komax bt 722,ET00001068,Crimping Press Wire < 6mm2,Komax--BT-722,Assembly,2142190201,1291,2019,FALSE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon,16
LTN3B,komax bt 722,ET00001068,Crimping Press Wire < 6mm2,Komax--BT-722,Assembly,2142200805,1423,2021,FALSE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,18
LTN3B,komax bt 722,ET00001068,Crimping Press Wire < 6mm2,Komax--BT-722,Assembly,2142211101,1706,2022,FALSE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,20
LTN3B,schafer eps 2001,ET00001170,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,Assembly,2142111112,4462,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen,6
LTN3B,schafer detorsadage,ET00002508,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,Assembly,2141210902,127,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,16
LTN3B,schafer detorsadage,ET00002508,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,Assembly,21002110121,0721-011,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,,20
LTN3B,schafer detorsadage,ET00002508,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,Assembly,2141221269,1501,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,21
LTN3B,kabatec ktcx 20 (ktb e9p/e19p),ET00001097,Taping Machine,Kabatec--KTB E9P Taping Machine,Assembly,2143221202,1072,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,22
LTN3B,kabatec ktcx 20 (ktb e9p/e19p),ET00001097,Taping Machine,Kabatec--KTB E9P Taping Machine,Assembly,2143221201,1087,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,20
LTN3B,schafer detorsadage,ET00002508,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,Assembly,2141210901,126,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,17
LTN3B,schleuniger jacket strip 8400,ET00001196,Stripping Machine,Schleuniger--JS 8400,Assembly,immo913033,1640,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon,Bon,12
LTN3B,komax mira 230,ET00001080,Stripping Machine,Komax--Mira 230,Assembly,2120181103,4199,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon,Bon,15
LTN3B,schafer eps 3000,ET00001178,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,Assembly,2142111104,184,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen,6
LTN3B,mecalbi stcs cs 19 ( tunelle),ET00002498,Shrinking Machine Tunnel,Mecalbi--STCS-CS19,Assembly,2200200704,422,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,15
LTN3B,schafer eps 3000,ET00001178,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,Assembly,2142090203,139,2009,TRUE,TRUE,16,0.7,3920,0.75,0,0,0,0.495,Moyen,Moyen,6
LTN3B,mecalbi stcs rt (navette),ET00001122,Shrinking Machine Shuttle,Mecalbi--STCS-RT,Assembly,2200200705,187,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,16
LTN3B,schafer eps 3000,ET00001178,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,Assembly,2142111106,186,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen,8
LTN3B,hanke 15 tonnes,ET00001035,Crimping Press Wire < 6mm2,Hanke--Crimpmatic 100 014,Assembly,2142191001,701/g 23,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon,13
LTN3B,hanke 15 tonnes,ET00001035,Crimping Press Wire < 6mm2,Hanke--Crimpmatic 100 014,Assembly,2142191002,701/g 24,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon,14
LTN3B,schafer eps 2001,ET00001170,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,Assembly,2142110702,4393,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen,4
LTN3B,schafer eps 2001,ET00001170,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,Assembly,2142110603,4342,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen,1
LTN3B,schafer eps 2001,ET00001170,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,Assembly,2142120803,3961,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,,6
LTN3B,schafer eps 2001,ET00001170,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,Assembly,2142120607,4576,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,,6
LTN3B,schafer eps 3000,ET00001178,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,Assembly,2142110508,172,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,,5
LTN3B,schafer eps 3000,ET00001178,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,Assembly,2142110502,168,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon,Moyen,5
LTN3B,schafer eps 15000,ET00001168,Crimping Press Cable > 6mm2,Schaefer--EPS 15000,Assembly,2142190601,10043,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon,12
LTN3B,schafer eps 15000,ET00001168,Crimping Press Cable > 6mm2,Schaefer--EPS 15000,Assembly,2142190602,10042,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon,14
LTN3B,schafer eps 10000,ET00001167,Crimping Press Cable > 6mm2,Schaefer--EPS 10000,Assembly,21421100502,217,2010,TRUE,TRUE,15,0.7,3920,0.75,0,0,0,0.495,Moyen,Moyen,4
LTN3B,flacara unisold 2100,ET00002789,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2100,Assembly,immo136265,483,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,20
LTN3B,flacara unisold 2100,ET00002789,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2100,Assembly,immo505743,131,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,18
LTN3B,flacara unisold 2100,ET00002789,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2100,Assembly,immo182326,40027,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,19
LTN3B,flacara unisold 2000,ET00001026,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2000,Assembly,immo919397,321,2017,TRUE,TRUE,8,0.4,3920,0.75,0,0,0,0.315,Bon,Bon,16
LTN3B,mecalbi stcs rt (navette),ET00001122,Shrinking Machine Shuttle,Mecalbi--STCS-RT,Assembly,8200180605,123,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon,Excellent,13
LTN3B,mecalbi stcs rt (navette),ET00001122,Shrinking Machine Shuttle,Mecalbi--STCS-RT,Assembly,2200190201,144,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon,Excellent,13
LTN3B,bain d'étamage hakko,ET00001091,Soldering Bath,LEONI WDEKI--Welding Bath,Assembly,2110200601,FX301B,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,,18
LTN3B,bain d'étamage hakko,ET00001091,Soldering Bath,LEONI WDEKI--Welding Bath,Assembly,2110200801,fx300,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon,Bon,9
LTN3B,komax delta 240,ET00001074,Stripping Machine,Komax--Delta 60,Assembly,immo753515,S115,2023,TRUE,TRUE,2,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,23
LTN3B,BT 722,ET00001068,Crimping Press Wire < 6mm2,Komax--BT-722,Assembly,2142230901,1746,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,20
LTN3B,komax mira 340,ET00001080,Stripping Machine,Komax--Mira 230,Assembly,immo406566,4440,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent,Bon,19
LTN3B,kabatec ktcx 20 ,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,Assembly,4143231001,1202,2023,TRUE,TRUE,2,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,22
LTN3B,minic 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,2110230201,2740208,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,17
LTN3B,KTS 50,ET00001103,Taping Machine,Kabatec--KTS 50 Comfort,Assembly,4200220501,1438,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,18
LTN3B,MINIC 2,ET00001233,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,Assembly,2110120501,5250-1,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,12
LTN3B,MINIC 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,8110230704,2824669,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,17
LTN3B,MINIC 3,ET00001236,Ultrasonic Welding Machine,Schunk--Minic III,Assembly,2110210906,2614-6,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,19
LTN3B,mecalbi evo 500 ts,ET00001119,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,Assembly,2200200703,2231,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,17
LTN3B,Table de Contrôle Technique TSK TS1500,ET00001604,Test Table,TSK--Test Table,PostAssemblyTesting,2145220633,TS1500-402460-3090-94,2023,TRUE,TRUE,2,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,22
LTN3B,Table de Contrôle Technique TSK TS1500,ET00001604,Test Table,TSK--Test Table,PostAssemblyTesting,2145220801,TS1500-402461-3090-95,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,22
LTN3B,Table de Contrôle Technique TSK TS1500,ET00001604,Test Table,TSK--Test Table,PostAssemblyTesting,2145220605,TS1500-402460-3090-96,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent,Excellent,19
